,id_mutation,date_mutation,prix,type_local,nb_dépendances,surface_reelle_bati,surface_carrez,nombre_pieces_principales,prix_au_m2_carrez,prix_au_m2_réel,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,longitude,latitude
83,2023-543667,2023-01-06,1162000.0,Appartement,1.0,106.0,,4.0,,10962.0,13.0,PAS DUBAIL,2938,75010.0,75110,Paris 10e Arrondissement,75,75110000BB0065,2.359603,48.873893
85,2023-543668,2023-01-11,395000.0,Appartement,1.0,43.0,,2.0,,9186.0,10.0,VLA DES NYMPHEAS,6856,75020.0,75120,Paris 20e Arrondissement,75,75120000BO0011,2.407757,48.869582
90,2023-543669,2023-01-10,260000.0,Appartement,2.0,31.0,,1.0,,8387.0,15.0,QUAI DE L OISE,6879,75019.0,75119,Paris 19e Arrondissement,75,75119000BH0045,2.38301,48.890943
92,2023-543670,2023-01-04,500000.0,Appartement,1.0,74.0,,4.0,,6757.0,6.0,VC J 20,X350,75020.0,75120,Paris 20e Arrondissement,75,75120000AW0023,2.402724,48.873186
94,2023-543671,2023-01-11,272000.0,Appartement,0.0,24.0,35.05,3.0,7760.0,11333.0,39.0,RUE PETIT,7314,75019.0,75119,Paris 19e Arrondissement,75,75119000CT0005,2.38355,48.885134
96,2023-543672,2023-01-10,380000.0,Appartement,1.0,30.0,34.45,2.0,11030.0,12667.0,31.0,RUE PIERRE FONTAINE,3713,75009.0,75109,Paris 9e Arrondissement,75,75109000AD0094,2.333069,48.882654
98,2023-543673,2023-01-05,1089450.0,Appartement,1.0,92.0,,5.0,,11842.0,38.0,RUE EUGENE CARRIERE,3407,75018.0,75118,Paris 18e Arrondissement,75,75118000AK0019,2.333778,48.891062
99,2023-543674,2023-01-05,877400.0,Appartement,0.0,69.0,68.74,3.0,12764.0,12716.0,50.0,RUE DE CLICHY,2116,75009.0,75109,Paris 9e Arrondissement,75,75109000AB0082,2.329696,48.880336
101,2023-543675,2023-01-10,693000.0,Appartement,0.0,64.0,64.2,3.0,10794.0,10828.0,30.0,RUE DU FBOURG MONTMARTRE,3510,75009.0,75109,Paris 9e Arrondissement,75,75109000AW0005,2.342982,48.873862
102,2023-543676,2023-01-10,469000.0,Appartement,1.0,48.0,49.08,3.0,9556.0,9771.0,12.0,RUE DE MARSEILLE,6122,75010.0,75110,Paris 10e Arrondissement,75,75110000BE0026,2.363876,48.871505
