,id_mutation,date_mutation,prix,type_local,nombre_dependances,surface_reelle_bati,surface_carrez,nombre_pieces_principales,prix_au_m2_carrez,prix_au_m2_reel,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,longitude,latitude
422,2023-543866,2023-01-16,3950000.0,Appartement,1.0,225.0,230.49,6.0,17137.0,17556.0,30.0,RUE DE GRAMONT,4265,75002.0,75102,Paris 2e Arrondissement,75,75102000AG0002,2.337284,48.87116
425,2023-543867,2023-01-04,1382323.0,Appartement,1.0,85.0,92.29,5.0,14978.0,16263.0,37.0,RUE JOUFFROY D'ABBANS,5031,75017.0,75117,Paris 17e Arrondissement,75,75117000BR0045,2.308659,48.88542
426,2023-543868,2023-01-13,294000.0,Appartement,0.0,36.0,28.43,2.0,10341.0,8167.0,7.0,RUE DES TROIS FRERES,9462,75018.0,75118,Paris 18e Arrondissement,75,75118000BQ0020,2.34134,48.883879
428,2023-543869,2023-01-03,1048884.0,Appartement,2.0,77.0,,3.0,,13622.0,28.0,AV SIMON BOLIVAR,8978,75019.0,75119,Paris 19e Arrondissement,75,75119000EC0034,2.383673,48.874927
430,2023-543872,2023-01-11,121000.0,Appartement,0.0,14.0,10.2,1.0,11863.0,8643.0,10.0,RUE DE CHATEAUDUN,1920,75009.0,75109,Paris 9e Arrondissement,75,75109000AY0029,2.340957,48.876063
431,2023-543873,2023-01-06,586328.0,Appartement,0.0,55.0,,3.0,,10661.0,78.0,RUE DU CHATEAU D EAU,1916,75010.0,75110,Paris 10e Arrondissement,75,75110000AR0059,2.354713,48.872861
433,2023-543874,2023-01-11,1251300.0,Appartement,1.0,104.0,107.12,5.0,11681.0,12032.0,92.0,BD PEREIRE,7258,75017.0,75117,Paris 17e Arrondissement,75,75117000BE0060,2.299776,48.886647
434,2023-543875,2023-01-10,172200.0,Appartement,1.0,19.0,18.37,2.0,9374.0,9063.0,14.0,RUE CHAMPIONNET,1723,75018.0,75118,Paris 18e Arrondissement,75,75118000BX0023,2.351341,48.895444
437,2023-543876,2023-01-18,1870000.0,Appartement,1.0,140.0,137.27,4.0,13623.0,13357.0,99.0,RUE DU FBG DU TEMPLE,3508,75010.0,75110,Paris 10e Arrondissement,75,75110000BJ0098,2.373357,48.871352
438,2023-543877,2023-01-16,740000.0,Appartement,0.0,80.0,75.19,3.0,9842.0,9250.0,1.0,PL DES GRES,4324,75020.0,75120,Paris 20e Arrondissement,75,75120000DA0012,2.406154,48.859252
439,2023-543878,2023-01-16,585000.0,Appartement,1.0,51.0,51.05,2.0,11459.0,11471.0,6.0,PL NATTIER,6697,75018.0,75118,Paris 18e Arrondissement,75,75118000AK0070,2.333316,48.890356
442,2023-543880,2023-01-13,295000.0,Appartement,1.0,27.0,27.02,2.0,10918.0,10926.0,4.0,CITE LEMERCIER,5502,75017.0,75117,Paris 17e Arrondissement,75,75117000CN0043,2.3241,48.886659
443,2023-543881,2023-01-06,972280.0,Appartement,1.0,82.0,,4.0,,11857.0,18.0,RUE PHILIBERT DELORME,7373,75017.0,75117,Paris 17e Arrondissement,75,75117000BU0001,2.302725,48.88848
445,2023-543882,2023-01-17,283000.0,Appartement,0.0,24.0,23.07,1.0,12267.0,11792.0,34.0,RUE DU TEMPLE,9191,75004.0,75104,Paris 4e Arrondissement,75,75104000AG0086,2.354439,48.859517
447,2023-543883,2023-01-12,1386266.0,Appartement,4.0,97.0,,4.0,,14291.0,44.0,AV NIEL,6773,75017.0,75117,Paris 17e Arrondissement,75,75117000AM0003,2.296531,48.882505
451,2023-543884,2023-01-13,383034.0,Appartement,0.0,41.0,,2.0,,9342.0,64.0,RUE MARX DORMOY,6149,75018.0,75118,Paris 18e Arrondissement,75,75118000DD0023,2.360281,48.888853
454,2023-543886,2023-01-11,225000.0,Appartement,1.0,16.0,,1.0,,14062.0,126.0,RUE DU FBG POISSONNIERE,3512,75010.0,75110,Paris 10e Arrondissement,75,75110000AB0084,2.349837,48.879956
456,2023-543887,2023-01-13,366050.0,Appartement,1.0,34.0,,2.0,,10766.0,74.0,RUE LABAT,5188,75018.0,75118,Paris 18e Arrondissement,75,75118000BL0073,2.345257,48.888784
458,2023-543888,2023-01-12,345000.0,Appartement,1.0,34.0,,2.0,,10147.0,7.0,RUE ROBERT PLANQUETTE,8267,75018.0,75118,Paris 18e Arrondissement,75,75118000AR0141,2.335095,48.884888
460,2023-543889,2023-01-06,441000.0,Appartement,0.0,49.0,,2.0,,9000.0,15.0,RUE FERDINAND DUVAL,3583,75004.0,75104,Paris 4e Arrondissement,75,75104000AI0076,2.359323,48.856715
462,2023-543890,2023-01-13,755000.0,Appartement,1.0,61.0,61.95,3.0,12187.0,12377.0,16.0,RUE DUHESME,2974,75018.0,75118,Paris 18e Arrondissement,75,75118000AV0084,2.338445,48.890579
463,2023-543891,2023-01-16,229500.0,Appartement,1.0,20.0,19.91,1.0,11527.0,11475.0,79.0,RUE MARCADET,5995,75018.0,75118,Paris 18e Arrondissement,75,75118000BU0015,2.346612,48.890056
